Occurrence;From;To;Sentiment;Index;Context
Harry moved the tip of his eagle-feather quill down the page , frowning as he looked for something that would help him write his essay , " Witch-Burning in the Fourteenth Century Was Completely Pointless - discuss " .;Harry,he,for something,help him,;the Fourteenth Century,;-0.202777777778;9;0
Harry 's dead parents , who had been a witch and wizard themselves , were never mentioned under the Dursleys " roof . For years , Aunt Petunia and Uncle Vernon had hoped that if they kept Harry as downtrodden as possible , they would be able to squash the magic out of him . To their fury , they had been unsuccessful , and now lived in terror of anyone finding out that Harry had spent most of the last two years at Hogwarts School of Witchcraft and Wizardry . The most the Dursleys could do these days was to lock away Harry 's spellbooks , wand , cauldron and broomstick at the start of the summer holidays , and forbid him to talk to the neighbours .;Harry,the Dursleys,;Aunt Petunia and Uncle Vernon,if they,they,they,of anyone,that Harry,the Dursleys,these days,cauldron and broomstick,Harry,the magic,in terror,these days,him,;0.257142857143;23;1
" Vernon Dursley speaking . ";;Vernon Dursley,;0.0;33;2
" HELLO ? HELLO ? CAN YOU HEAR ME ? I - WANT - TO - TALK - TO - HARRY - POTTER ! ";;YOU,YOU,ME,;0.0;35;2
" WHO IS THIS ? ";;;0.0;37;2
he roared in the direction of the mouthpiece . " WHO ARE YOU ? ";he,;YOU,;0.0;38;2
" RON - WEASLEY ! ";;;0.0;39;2
Ron bellowed back , as though he and Uncle Vernon were speaking from opposite ends of a football pitch . " I'M - A - FRIEND - OF - HARRY'S - FROM - SCHOOL - ";Ron,Uncle Vernon,;;0.0;40;2
" THERE IS NO HARRY POTTER HERE ! ";;NO HARRY POTTER,;0.0;42;2
he roared , now holding the receiver at arm"s length , as though frightened it might explode . ";he,;s,it,it,;0.0;43;2
DON'T YOU COME NEAR MY FAMILY ! ";DON'T YOU,;;0.125;46;2
" HOW DARE YOU GIVE THIS NUMBER TO PEOPLE LIKE - PEOPLE LIKE YOU ! ";;YOU,YOU,THIS NUMBER,;0.0;49;2
A delighted Mr Weasley told the Daily Prophet , " We will be spending the gold on a summer holiday in Egypt , where our eldest son , Bill , works as a curse breaker for Gringotts Wizarding Bank . ";Mr Weasley,;We,the gold,;0.35;110;3
" Wow , Hermione ! ";;;0.125;190;4
" Uh oh , " Harry muttered .;Harry,;;0.0;208;5
" Ouch ! ";;;0.0;213;5
" ... the public is warned that Black is armed and extremely dangerous . A special hotline has been set up , and any sighting of Black should be reported immediately . ";;the public is,Black,A special hotline,Black,;-0.115238095238;262;6
" No need to tell us he 's no good , " snorted Uncle Vernon , staring over the top of his newspaper at the prisoner . " Look at the state of him , the filthy layabout ! Look at his hair ! ";Uncle Vernon,;us he,us he,no good,;0.177083333333;263;6
" The Ministry of Agriculture and Fisheries will announce today - ";;Agriculture and Fisheries,;0.0;267;6
" Hang on ! ";;;0.0;268;6
barked Uncle Vernon , staring furiously at the newsreader . " You did n't tell us where that maniac 's escaped from ! What use is that ? Lunatic could be coming up the street right now ! ";Uncle Vernon,;You,use,Lunatic,us,;0.357142857143;269;6
" When will they learn , " said Uncle Vernon , pounding the table with his large purple fist , " that hanging 's the only way to deal with these people ? ";Uncle Vernon,;they,they,;0.107142857143;273;6
" Very true , " said Aunt Petunia , who was still squinting into next door"s runner-beans .;Aunt Petunia,;s,;0.2275;274;6
Uncle Vernon drained his teacup , glanced at his watch and added , " I'd better be off in a minute , Petunia , Marge 's train gets in at ten . ";Uncle Vernon,;train,;0.25;275;6
" Aunt Marge ? ";;;0.0;277;6
he blurted out . " Sh-she 's not coming here , is she ? ";he,;she,;0.0;278;6
Even though she was not a blood relative of Harry 's ( whose mother had been Aunt Petunia 's sister ) , he had been forced to call her " Aunt " all his life .;she,mother,he,Harry,Aunt Petunia,;;-0.15;280;6
She did n't often stay in Privet Drive , because she could n't bear to leave her precious dogs , but each of her visits stood out horribly vividly in Harry"s mind .;She,she,each of her visits,in Privet Drive,Harry,;s,;0.5;282;6
" Marge 'll be here for a week , " Uncle Vernon snarled , " and while we 're on the subject , " he pointed a fat finger threateningly at Harry , " we need to get a few things straight before I go and collect her . ";Uncle Vernon,he,;Marge,we,we,a few things,I go,her,;-0.0555555555556;288;6
